City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,puerto armuelles,8.2833,-82.8667,24.99000000000001,87,100,0.86,PA,1717126991
140,waddan,29.1614,16.139,23.28000000000003,39,1,3.13,LY,1717126991
141,murfreesboro,35.8456,-86.3903,19.129999999999995,74,0,0.0,US,1717126973
142,tralee,52.2704,-9.7026,6.850000000000023,91,16,1.25,IE,1717126991
143,siracusa,37.0881,15.2792,19.879999999999995,55,19,1.26,IT,1717126991
144,stanley,54.868,-1.6985,10.010000000000048,84,40,7.2,GB,1717126991
145,nadym,65.5333,72.5167,-0.01999999999998181,86,100,6.99,RU,1717126991
146,bethel,41.3712,-73.414,14.720000000000027,77,0,0.0,US,1717126990
147,kavaratti,10.5669,72.642,28.53000000000003,80,60,7.55,IN,1717126992
148,namibe,-15.1961,12.1522,17.170000000000016,88,9,1.72,AO,1717126992
149,bratsk,56.1325,101.6142,17.27000000000004,53,68,3.11,RU,1717126992
150,georgetown,5.4112,100.3354,32.97000000000003,58,20,5.14,MY,1717126992
151,utrik,11.2278,169.8474,28.370000000000005,78,94,5.22,MH,1717126992
152,forster,-32.1667,152.5167,21.160000000000025,63,100,4.31,AU,1717126992
153,homestead meadows north,31.8496,-106.1729,31.710000000000036,5,0,4.12,US,1717126992
154,talnakh,69.4865,88.3972,-2.109999999999957,76,99,8.89,RU,1717126992
155,san julian,21.0167,-102.1667,23.590000000000032,35,100,2.57,MX,1717126993
